county_month,indicator1_all_total_children,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total_children,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total_children,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total_children,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total_children,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,x1,indicator2_all_total_children,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total_children,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total_children,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total_children,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total_children,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,x2,indicator3_all_total_children,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total_children,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total_children,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total_children,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total_children,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,x3,indicator4_all_total_adults,indicator4_all_male,indicator4_all_female,indicator4_host_community_total_adults,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total_adults,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total_adults,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,x4,indicator5_all_total_adults,indicator5_all_male,indicator5_all_female,indicator5_host_community_total_adults,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total_adults,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total_adults,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,x5,indicator6_all_total_adults,indicator6_all_male,indicator6_all_female,indicator6_narrative,x6,indicator7_all_total_children,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total_children,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total_children,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total_children,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total_children,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Baringo Total,1429,714,715,1429,714,715,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,324,172,152,324,172,152,0,0,0,0,0,0,NA,,1559,842,717,1559,842,717,0,0,0,0,0,0,NA,,5,3,2,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Baringo January,163,97,66,163,97,66,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,133,105,28,133,105,28,0,0,0,0,0,0,"To support Board of Management (BoMs) in implementing school-based strategy and sustainability plan towards enrolment and retention, QASO Officers in Baringo County were supported to conduct school assessment and there after provide recommendation before rolling out training for the BOM members. BOM members were then trained especially on their roles and responsibilities, and enrollment of OOSC.",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Baringo February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Baringo March,317,136,181,317,136,181,0,0,0,0,0,0,0,0,0,"Three targeted and rigorous school and community based OOSC enrolment drives were conducted through child-to-child, door-to-door approaches, and public gatherings (barazas).",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,20,11,9,20,11,9,0,0,0,0,0,0,Curriculum Support officers (CSOs) were facilitated to monitor teachers in the OOSC targeted schools to build on existing transition pathways for OOSC.,,1379,714,665,1379,714,665,0,0,0,0,0,0,"Schoolsâ€™ BOMs training was conducted in Samburu County with emphasis on the roles of BOMs. Additionally, the BOMs were supported to develop specific school improvement plans (SIPs).",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Baringo April,254,157,97,254,157,97,0,0,0,0,0,0,0,0,0,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,304,161,143,304,161,143,0,0,0,0,0,0,"A PSEAH sessions on FGM children rights, child labour and early marriages were organised in 12 schools and facilitated by the CPVs.",,47,23,24,47,23,24,0,0,0,0,0,0,"A 3 day training to equip child protection state and non-state actors from local CSOs, Police Service, Probation, Ministry of Education and MoH with knowledge and skills on Case Management  and referral pathways in emergency was conducted.",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Baringo May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Baringo June,83,36,47,83,36,47,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Baringo July,612,288,324,612,288,324,0,0,0,0,0,0,0,0,0,Enrolment drive campaigns at school level towards improved enrolment of OOSC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,5,3,2,"Edcation officials trained on mentorship, mental health and hygiene promotion.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bungoma January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Bungoma July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Embu January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Embu July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa Total,2783,1377,1406,2783,1377,1406,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,244,150,94,244,150,94,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Garissa January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,188,106,82,188,106,82,0,0,0,0,0,0,Enrollment drive committee members sanitized on mobilization and retention of OOSC in Garissa sub-county,,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa February,1242,575,667,1242,575,667,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa June,1541,802,739,1541,802,739,0,0,0,0,0,0,0,0,0,"Qatar charity with support from UNICEF  mobilized and enrolled 1,514 (802 boys, 739 girls) OOSC including 55 children with disabilitie",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,56,44,12,56,44,12,0,0,0,0,0,0,A two-day capacity building of head teachers and Board of Management (BoM) were trained to develop school-based strategic and sustainability plans reaching 56 (44 male and 12 female).,,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Garissa July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Homa Bay Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Homa Bay January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Homa Bay February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Homa Bay March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Homa Bay April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Homa Bay May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Homa Bay June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
